candidate_id,target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse
ambench_line0_1_dense_a800_csv,target_frame_mean,mean_guard,mean,constant:mean:fit=train,test,14,34.119059,19.498325,0.029249,0.262728
ambench_line0_1_dense_a800_csv,target_frame_mean,mean_guard,mean,constant:mean:fit=train,train,42,17.316954,8.281315,0.014700,0.133346
ambench_line0_1_dense_a800_csv,target_frame_mean,mean_guard,mean,constant:mean:fit=train,val,14,6.986002,6.060808,0.005927,0.053795
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,knn,model:knn:fit=train,test,14,34.108049,19.498325,0.029240,0.262643
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,knn,model:knn:fit=train,train,42,14.615975,6.016229,0.012407,0.112548
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,knn,model:knn:fit=train,val,14,6.990012,6.065346,0.005930,0.053825
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,extra_trees,model:extra_trees:fit=train,test,14,32.267971,21.435920,0.027663,0.248474
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,extra_trees,model:extra_trees:fit=train,train,42,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,extra_trees,model:extra_trees:fit=train,val,14,11.005517,9.484554,0.009336,0.084746
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,14,35.270915,20.006051,0.030237,0.271598
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,42,17.072872,8.461864,0.014493,0.131467
ambench_line0_1_dense_a800_csv,target_frame_mean,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,14,7.251944,5.926762,0.006152,0.055842
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,knn,model:knn:fit=train,test,14,34.108049,19.498325,0.029240,0.262643
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,knn,model:knn:fit=train,train,42,14.615975,6.016229,0.012407,0.112548
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,knn,model:knn:fit=train,val,14,6.990012,6.065346,0.005930,0.053825
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,extra_trees,model:extra_trees:fit=train,test,14,32.267971,21.435920,0.027663,0.248474
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,extra_trees,model:extra_trees:fit=train,train,42,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,extra_trees,model:extra_trees:fit=train,val,14,11.005517,9.484554,0.009336,0.084746
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,14,35.270915,20.006051,0.030237,0.271598
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,42,17.072872,8.461864,0.014493,0.131467
ambench_line0_1_dense_a800_csv,target_frame_mean,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,14,7.251944,5.926762,0.006152,0.055842
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,knn,model:knn:fit=train,test,14,34.108049,19.498325,0.029240,0.262643
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,knn,model:knn:fit=train,train,42,14.615975,6.016229,0.012407,0.112548
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,knn,model:knn:fit=train,val,14,6.990012,6.065346,0.005930,0.053825
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,extra_trees,model:extra_trees:fit=train,test,14,32.267971,21.435920,0.027663,0.248474
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,extra_trees,model:extra_trees:fit=train,train,42,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,extra_trees,model:extra_trees:fit=train,val,14,11.005517,9.484554,0.009336,0.084746
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,14,35.270915,20.006051,0.030237,0.271598
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,42,17.072872,8.461864,0.014493,0.131467
ambench_line0_1_dense_a800_csv,target_frame_mean,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,14,7.251944,5.926762,0.006152,0.055842
ambench_line0_1_dense_a800_csv,target_frame_q90,mean_guard,mean,constant:mean:fit=train,test,14,110.177862,68.492482,0.083523,0.303192
ambench_line0_1_dense_a800_csv,target_frame_q90,mean_guard,mean,constant:mean:fit=train,train,42,54.226756,29.323690,0.039458,0.149223
ambench_line0_1_dense_a800_csv,target_frame_q90,mean_guard,mean,constant:mean:fit=train,val,14,26.433281,20.702945,0.019351,0.072740
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,knn,model:knn:fit=train,test,14,109.013791,66.572055,0.082641,0.299989
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,knn,model:knn:fit=train,train,42,46.952110,22.965119,0.034165,0.129205
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,knn,model:knn:fit=train,val,14,25.885329,20.456623,0.018950,0.071232
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,extra_trees,model:extra_trees:fit=train,test,14,96.877888,66.441187,0.073441,0.266593
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,extra_trees,model:extra_trees:fit=train,train,42,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,extra_trees,model:extra_trees:fit=train,val,14,36.763908,30.476395,0.026914,0.101168
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,14,112.520072,72.241291,0.085299,0.309637
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,42,54.058789,29.065294,0.039336,0.148761
ambench_line0_1_dense_a800_csv,target_frame_q90,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,14,27.983894,21.327746,0.020486,0.077007
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,knn,model:knn:fit=train,test,14,109.013791,66.572055,0.082641,0.299989
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,knn,model:knn:fit=train,train,42,46.952110,22.965119,0.034165,0.129205
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,knn,model:knn:fit=train,val,14,25.885329,20.456623,0.018950,0.071232
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,extra_trees,model:extra_trees:fit=train,test,14,96.877888,66.441187,0.073441,0.266593
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,extra_trees,model:extra_trees:fit=train,train,42,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,extra_trees,model:extra_trees:fit=train,val,14,36.763908,30.476395,0.026914,0.101168
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,14,112.520072,72.241291,0.085299,0.309637
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,42,54.058789,29.065294,0.039336,0.148761
ambench_line0_1_dense_a800_csv,target_frame_q90,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,14,27.983894,21.327746,0.020486,0.077007
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,knn,model:knn:fit=train,test,14,109.013791,66.572055,0.082641,0.299989
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,knn,model:knn:fit=train,train,42,46.952110,22.965119,0.034165,0.129205
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,knn,model:knn:fit=train,val,14,25.885329,20.456623,0.018950,0.071232
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,extra_trees,model:extra_trees:fit=train,test,14,96.877888,66.441187,0.073441,0.266593
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,extra_trees,model:extra_trees:fit=train,train,42,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,extra_trees,model:extra_trees:fit=train,val,14,36.763908,30.476395,0.026914,0.101168
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,14,112.520072,72.241291,0.085299,0.309637
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,42,54.058789,29.065294,0.039336,0.148761
ambench_line0_1_dense_a800_csv,target_frame_q90,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,14,27.983894,21.327746,0.020486,0.077007
ambench_line0_1_dense_a800_csv,target_frame_std,mean_guard,mean,constant:mean:fit=train,test,14,39.375768,23.260029,0.411714,0.319148
ambench_line0_1_dense_a800_csv,target_frame_std,mean_guard,mean,constant:mean:fit=train,train,42,16.301609,6.173886,0.147954,0.132128
ambench_line0_1_dense_a800_csv,target_frame_std,mean_guard,mean,constant:mean:fit=train,val,14,4.153496,3.465946,0.038210,0.033665
ambench_line0_1_dense_a800_csv,target_frame_std,time_only,knn,model:knn:fit=train,test,14,39.404512,23.284714,0.412015,0.319381
