seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,train_objective,learned_center_shift,learned_source_width,raw_closure_coeff,calibrated_closure_coeff
171,P169-CASE-074,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0005746608,0.0521102623,0.0739052504,0.0475955802,0.0378212692
171,P169-CASE-075,val,tiny_explicit_latent_hidden_closure_smoke,3,48,68,547,0.0006168313,0.051881956,0.074026996,0.1145945071,0.1048445893
171,P169-CASE-075,val,uniform_grid_latent_trainable_control,1,48,28,225,0.0006168313,0.051881956,0.074026996,0.1145945071,0.0981382201
171,P169-CASE-076,train,tiny_explicit_latent_hidden_closure_smoke,2,48,47,378,0.0006176214,0.052081806,0.0960918665,-0.130774506,-0.1222134085
171,P169-CASE-076,train,uniform_grid_latent_trainable_control,1,48,28,225,0.0006176214,0.052081806,0.0960918665,-0.130774506,-0.1204014169
171,P169-CASE-077,val,tiny_explicit_latent_hidden_closure_smoke,2,48,50,402,0.0006879709,0.051839258,0.0958026873,-0.0073760109,-0.0111272405
171,P169-CASE-077,val,uniform_grid_latent_trainable_control,1,48,30,241,0.0006879745,0.0518343698,0.0957963779,-0.0072044451,-0.0092044538
171,P169-CASE-078,train,tiny_explicit_latent_hidden_closure_smoke,2,48,47,378,0.0005148197,0.0519257436,0.0960347293,0.0133821892,0.0090079996
171,P169-CASE-078,train,uniform_grid_latent_trainable_control,1,48,28,225,0.0005148219,0.0519223118,0.0960319061,0.0134744231,0.0094383024
171,P169-CASE-079,test,tiny_explicit_latent_hidden_closure_smoke,2,48,47,378,0.0006677773,0.0520614935,0.0960724064,0.1155892459,0.10309771
171,P169-CASE-079,test,uniform_grid_latent_trainable_control,1,48,30,241,0.0006677773,0.0520614935,0.0960724064,0.1155892459,0.1013699803
172,P169-CASE-000,train,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0005360135,-0.0450351727,0.0358352316,-0.0917080833,-0.0930321701
172,P169-CASE-000,train,uniform_grid_latent_trainable_control,1,48,28,225,0.0005360199,-0.0450342391,0.0358334116,-0.0916601588,-0.0933590484
172,P169-CASE-001,val,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0005716154,-0.0449415914,0.0361047733,-0.0573823255,-0.0592325758
172,P169-CASE-001,val,uniform_grid_latent_trainable_control,1,48,26,209,0.0005716154,-0.0449415914,0.0361047733,-0.0573823255,-0.0584116108
172,P169-CASE-002,train,tiny_explicit_latent_hidden_closure_smoke,3,48,67,539,0.0005214112,-0.0449932911,0.0358519417,0.0415602544,0.042565846
172,P169-CASE-002,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0005214213,-0.0450019706,0.0358503023,0.041704914,0.0425946801
172,P169-CASE-003,test,tiny_explicit_latent_hidden_closure_smoke,3,48,62,499,0.0005243138,-0.045057005,0.0358994789,0.1440373755,0.1468714782
172,P169-CASE-003,test,uniform_grid_latent_trainable_control,1,48,28,225,0.0005243182,-0.0450568473,0.0359008383,0.1439941982,0.1468735019
172,P169-CASE-004,train,tiny_explicit_latent_hidden_closure_smoke,3,48,59,475,0.0004898007,-0.0449687937,0.0542008367,-0.1498489907,-0.1544636333
172,P169-CASE-004,train,uniform_grid_latent_trainable_control,1,48,25,201,0.000489801,-0.044969675,0.0542015367,-0.1498443109,-0.1521619973
172,P169-CASE-005,test,tiny_explicit_latent_hidden_closure_smoke,3,48,68,547,0.0006169357,-0.044848479,0.0544420857,-0.0767373642,-0.0812233705
172,P169-CASE-005,test,uniform_grid_latent_trainable_control,1,48,26,209,0.0006169361,-0.0448483213,0.0544479519,-0.076912966,-0.0778123405
172,P169-CASE-006,train,tiny_explicit_latent_hidden_closure_smoke,3,48,62,499,0.0006277307,-0.0451007162,0.0539524681,0.0361451778,0.0363916475
172,P169-CASE-006,train,uniform_grid_latent_trainable_control,1,48,25,201,0.0006277307,-0.0451007162,0.0539524681,0.0361451778,0.0374366643
172,P169-CASE-007,train,tiny_explicit_latent_hidden_closure_smoke,3,48,67,539,0.0006527512,-0.0450232153,0.0542000999,0.1294932906,0.1305163979
