target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_quadrant_contrast,xypt_guard,extra_trees,model:extra_trees:fit=train,val,26,3.047936,2.814892,0.152282,0.377785,3.159812,3.047936
target_quadrant_contrast,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.048412,2.769051,0.149946,0.425099,4.087787,3.048412
target_quadrant_contrast,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.526637,2.909192,0.177974,0.130400,6.851907,3.526637
target_quadrant_contrast,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.098621,2.814892,0.154814,0.384068,4.011584,3.098621
target_quadrant_contrast,gcode_layer_path,knn,model:knn:fit=train,test,26,3.256371,2.802896,0.160175,0.454098,3.734910,3.256371
target_quadrant_contrast,gcode_layer_path,knn,model:knn:fit=train,train,76,3.194549,2.762725,0.161215,0.118120,5.040755,3.194549
target_quadrant_contrast,gcode_layer_path,knn,model:knn:fit=train,val,26,3.686879,3.267184,0.184205,0.456981,2.032795,3.686879
target_quadrant_contrast,gcode_layer_path,extra_trees,model:extra_trees:fit=train,test,26,2.950550,2.769051,0.145132,0.411452,3.227940,2.950550
target_quadrant_contrast,gcode_layer_path,extra_trees,model:extra_trees:fit=train,train,76,2.934106,2.658237,0.148071,0.108490,4.720556,2.934106
target_quadrant_contrast,gcode_layer_path,extra_trees,model:extra_trees:fit=train,val,26,4.644253,3.892735,0.232038,0.575646,2.981546,4.644253
target_quadrant_contrast,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.124446,2.831887,0.153686,0.435701,2.094310,3.124446
target_quadrant_contrast,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.619280,2.897156,0.182649,0.133825,7.082886,3.619280
target_quadrant_contrast,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.343864,2.906159,0.167067,0.414465,1.496259,3.343864
target_quadrant_contrast,gcode_strategy_params,knn,model:knn:fit=train,test,26,3.096576,2.793809,0.152315,0.431815,4.285111,3.096576
target_quadrant_contrast,gcode_strategy_params,knn,model:knn:fit=train,train,76,4.045805,3.161875,0.204174,0.149596,8.085071,4.045805
target_quadrant_contrast,gcode_strategy_params,knn,model:knn:fit=train,val,26,3.134851,2.877012,0.156625,0.388558,5.231443,3.134851
target_quadrant_contrast,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,test,26,2.936073,2.773707,0.144420,0.409433,3.680603,2.936073
target_quadrant_contrast,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,train,76,3.870841,3.110316,0.195344,0.143127,7.786304,3.870841
target_quadrant_contrast,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,val,26,2.993701,2.816717,0.149572,0.371063,2.930372,2.993701
target_quadrant_contrast,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.932695,2.771541,0.144254,0.408962,3.724633,2.932695
target_quadrant_contrast,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.871481,3.112900,0.195376,0.143150,7.781245,3.871481
target_quadrant_contrast,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.988414,2.814892,0.149308,0.370408,3.135368,2.988414
target_quadrant_contrast,gcode_all,knn,model:knn:fit=train,test,26,2.938958,2.769051,0.144562,0.409835,2.413743,2.938958
target_quadrant_contrast,gcode_all,knn,model:knn:fit=train,train,76,3.146733,2.766616,0.158802,0.116352,4.673463,3.146733
target_quadrant_contrast,gcode_all,knn,model:knn:fit=train,val,26,4.659875,3.770242,0.232818,0.577582,2.032795,4.659875
target_quadrant_contrast,gcode_all,extra_trees,model:extra_trees:fit=train,test,26,2.885745,2.769051,0.141945,0.402415,3.080371,2.885745
target_quadrant_contrast,gcode_all,extra_trees,model:extra_trees:fit=train,train,76,2.934106,2.658237,0.148071,0.108490,4.720556,2.934106
target_quadrant_contrast,gcode_all,extra_trees,model:extra_trees:fit=train,val,26,5.498679,4.343670,0.274727,0.681550,3.053250,5.498679
target_quadrant_contrast,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.140983,2.862864,0.154499,0.438007,2.244220,3.140983
target_quadrant_contrast,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.604278,2.903828,0.181892,0.133270,6.975614,3.604278
target_quadrant_contrast,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.335422,2.915548,0.166646,0.413419,1.909113,3.335422
target_quadrant_contrast,layer_time_strategy,knn,model:knn:fit=train,test,26,4.632156,3.328491,0.227848,0.645950,1.594116,4.632156
target_quadrant_contrast,layer_time_strategy,knn,model:knn:fit=train,train,76,2.077792,0.834802,0.104857,0.076828,5.129251,2.077792
target_quadrant_contrast,layer_time_strategy,knn,model:knn:fit=train,val,26,4.669275,3.312160,0.233288,0.578747,2.029962,4.669275
target_quadrant_contrast,layer_time_strategy,extra_trees,model:extra_trees:fit=train,test,26,13.856329,9.886110,0.681568,1.932254,0.258466,13.856329
target_quadrant_contrast,layer_time_strategy,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_quadrant_contrast,layer_time_strategy,extra_trees,model:extra_trees:fit=train,val,26,13.767394,9.919229,0.687851,1.706440,0.265551,13.767394
