target,selected_low_capacity,profile,model,model_label,alpha,l1_ratio,feature,coefficient_standardized,coefficient_raw_scale,abs_coefficient_standardized,coefficient_rank,intercept_raw_scale
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=100,100.000000000,,mean_atomic_number,-0.059867597,-0.003930862,0.059867597,11,1.197116049
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=100,100.000000000,,max_atomic_number,-0.054352408,-0.002843915,0.054352408,12,1.197116049
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=100,100.000000000,,mean_electronegativity,0.008404317,0.018812802,0.008404317,17,1.197116049
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=100,100.000000000,,electronegativity_range,0.103792990,0.140855701,0.103792990,8,1.197116049
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,element_count,0.190923977,0.270448546,0.190923977,4,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,entropy_fraction,-0.181513502,-0.840484994,0.181513502,5,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,max_fraction,-0.078807853,-0.672633671,0.078807853,12,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,anion_fraction,0.202601122,0.659686599,0.202601122,3,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,oxygen_fraction,-0.104058369,-0.440433943,0.104058369,10,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,chalcogen_fraction,0.123028375,0.430554954,0.123028375,8,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,halogen_fraction,0.033020535,0.230371074,0.033020535,18,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,pnictogen_fraction,-0.067993864,-0.416890764,0.067993864,13,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,alkali_fraction,-0.050180913,-0.432614140,0.050180913,16,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,alkaline_earth_fraction,-0.093257380,-0.822031954,0.093257380,11,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,transition_metal_fraction,-0.430752357,-1.649335062,0.430752357,1,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,post_transition_fraction,-0.169517391,-0.902263870,0.169517391,6,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,metalloid_fraction,-0.146270420,-0.690566890,0.146270420,7,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,rare_earth_fraction,-0.215245852,-1.379338907,0.215245852,2,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,mean_atomic_number,-0.037636655,-0.002471195,0.037636655,17,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,max_atomic_number,-0.061296204,-0.003207240,0.061296204,14,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,mean_electronegativity,-0.053594477,-0.119969567,0.053594477,15,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,electronegativity_range,0.115900843,0.157287062,0.115900843,9,2.017334865
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=0.0001,0.000100000,,element_count,0.189404870,0.268296693,0.189404870,4,1.993966870
gap_expt_ev,false,descriptor_linear,lasso,lasso;alpha=0.0001,0.000100000,,entropy_fraction,-0.179046711,-0.829062699,0.179046711,5,1.993966870
