target,selected_low_capacity,profile,model,model_label,alpha,l1_ratio,feature,coefficient_standardized,coefficient_raw_scale,abs_coefficient_standardized,coefficient_rank,intercept_raw_scale
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_V,12.425118022,3496.141152012,12.425118022,6,1093.650113712
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_N,-1.932402384,-2359.504683306,1.932402384,9,1093.650113712
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_Nb,-23.220107294,-44124.780148456,23.220107294,4,1093.650113712
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_W,-13.070951950,-4060.913623454,13.070951950,5,1093.650113712
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_Al,95.574597076,18686.459075935,95.574597076,3,1093.650113712
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,frac_Ti,150.495106021,25901.681851022,150.495106021,2,1093.650113712
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_C,180.707189188,33995.127925570,180.707189188,1,1093.619140843
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_Mn,-7.947670847,-3293.538989953,7.947670847,8,1093.619140843
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_Si,11.918613283,954.391994216,11.918613283,7,1093.619140843
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_V,12.418782942,3494.358606766,12.418782942,6,1093.619140843
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_N,-1.929210725,-2355.607598446,1.929210725,9,1093.619140843
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_Nb,-23.222543286,-44129.409222603,23.222543286,4,1093.619140843
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_W,-13.071982256,-4061.233721324,13.071982256,5,1093.619140843
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_Al,95.585020323,18688.496997956,95.585020323,3,1093.619140843
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,frac_Ti,150.507429293,25903.802806746,150.507429293,2,1093.619140843
