target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_mp_max_range,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.536627,0.358974,0.002187,0.536627,0.923077,0.536627
target_mp_max_range,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,0.266469,0.142012,0.001087,0.266469,0.266469,0.266469
target_mp_max_range,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,0.383331,0.217949,0.001564,0.383331,0.923077,0.383331
target_mp_max_range,source_power_path,knn,model:knn:fit=train,test,12,0.561084,0.388889,0.002287,0.561084,0.881917,0.561084
target_mp_max_range,source_power_path,knn,model:knn:fit=train,train,39,0.184900,0.068376,0.000754,0.184900,0.184900,0.184900
target_mp_max_range,source_power_path,knn,model:knn:fit=train,val,12,0.360041,0.166667,0.001469,0.360041,0.849837,0.360041
target_mp_max_range,source_power_path,extra_trees,model:extra_trees:fit=train,test,12,0.514782,0.306667,0.002098,0.514782,0.882553,0.514782
target_mp_max_range,source_power_path,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_max_range,source_power_path,extra_trees,model:extra_trees:fit=train,val,12,0.300998,0.153333,0.001228,0.300998,0.651920,0.300998
target_mp_max_range,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.536627,0.358974,0.002187,0.536627,0.923077,0.536627
target_mp_max_range,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,0.266469,0.142012,0.001087,0.266469,0.266469,0.266469
target_mp_max_range,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,0.383331,0.217949,0.001564,0.383331,0.923077,0.383331
target_mp_max_range,source_all_no_layer,knn,model:knn:fit=train,test,12,0.561084,0.388889,0.002287,0.561084,0.927961,0.561084
target_mp_max_range,source_all_no_layer,knn,model:knn:fit=train,train,39,0.213504,0.085470,0.000871,0.213504,0.213504,0.213504
target_mp_max_range,source_all_no_layer,knn,model:knn:fit=train,val,12,0.384900,0.222222,0.001570,0.384900,0.849837,0.384900
target_mp_max_range,source_all_no_layer,extra_trees,model:extra_trees:fit=train,test,12,0.515138,0.305000,0.002100,0.515138,0.875728,0.515138
target_mp_max_range,source_all_no_layer,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_max_range,source_all_no_layer,extra_trees,model:extra_trees:fit=train,val,12,0.464363,0.278333,0.001894,0.464363,0.960833,0.464363
target_mp_max_range,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.536627,0.358974,0.002187,0.536627,0.923077,0.536627
