target,target_label,profile,profile_role,method,split,n_rows,rmse,mae,r2,nrmse_train_std
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,extra_trees,test,105,326.683282801,248.005719048,0.816555065,0.466977802
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,hist_gradient_boosting,train,342,281.639083263,199.479910840,0.837921841,0.402589318
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,hist_gradient_boosting,val,92,373.517956633,272.719047858,0.748495651,0.533925682
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,process_only_control,negative_control,hist_gradient_boosting,test,105,472.518775130,345.874978809,0.616213192,0.675442518
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,formula_hash_shortcut,negative_control,knn,train,342,718.261977195,465.932097953,-0.054154835,1.026720427
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,formula_hash_shortcut,negative_control,knn,val,92,827.895204582,600.531159420,-0.235586810,1.183435773
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,formula_hash_shortcut,negative_control,knn,test,105,831.479527864,578.348698413,-0.188379153,1.188559388
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,reference_shortcut,negative_control,knn,train,342,580.905735943,390.972263645,0.310475057,0.830376387
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,reference_shortcut,negative_control,knn,val,92,701.671209161,519.578442029,0.112456100,1.003004734
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,reference_shortcut,negative_control,knn,test,105,667.721376576,482.522777778,0.233622999,0.954475106
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,dominant_element_shortcut,negative_control,knn,train,342,694.102300798,515.510823587,0.015568233,0.992185349
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,dominant_element_shortcut,negative_control,knn,val,92,718.253951873,561.132518116,0.070009359,1.026708955
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,dominant_element_shortcut,negative_control,knn,test,105,765.625699340,555.323730159,-0.007592459,1.094424555
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,dominant_element_shortcut,negative_control,extra_trees,train,342,654.764283071,458.470407633,0.123990908,0.935953574
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,dominant_element_shortcut,negative_control,extra_trees,val,92,743.864660024,564.206288196,0.002505792,1.063318212
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,dominant_element_shortcut,negative_control,extra_trees,test,105,742.939693204,533.656597820,0.051234187,1.061996017
elongation_pct,elongation in percent,mean,baseline,mean,train,403,22.708107689,19.593221435,0.000000000,1.000000000
elongation_pct,elongation in percent,mean,baseline,mean,val,112,20.001306322,17.415862283,-0.047165994,0.880800223
elongation_pct,elongation in percent,mean,baseline,mean,test,104,21.443857585,18.547467312,-0.021856804,0.944326048
elongation_pct,elongation in percent,composition_descriptors,admissible,knn,train,403,18.114866612,14.081699752,0.363631915,0.797726823
elongation_pct,elongation in percent,composition_descriptors,admissible,knn,val,112,21.642665954,18.107931548,-0.226084270,0.953080999
elongation_pct,elongation in percent,composition_descriptors,admissible,knn,test,104,20.731936808,16.775280449,0.044866747,0.912975096
