target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase159_guard_profile,phase159_guard_method,phase159_guard_val_rmse,phase159_guard_test_rmse,val_gain_vs_phase159,relative_val_gain_vs_phase159,test_gain_vs_phase159,test_reversal_ratio_vs_phase159,clears_phase159_validation_guard,clears_phase159_test_guard,selected_low_capacity
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,12,12.4889936236,12.7561526023,12.8689107465,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.09096331312,-1.25167279523,-7.50253273337,2.39806266258,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,12,12.8471705667,13.082400161,13.1548657863,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.41721087182,-1.30926090783,-7.78848777323,2.45134907646,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,12,12.8251918626,13.0250929592,13.1329962304,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.35990367,-1.29914523492,-7.76661821727,2.44727378473,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,12,12.7914998735,12.9270485885,13.1056371848,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.26185929927,-1.28183877511,-7.73925917176,2.44217555172,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,huber,huber;alpha=1e-05,1e-05,,12,12.1410944027,13.4697533328,14.1257053152,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.80456404363,-1.37763517602,-8.75932730213,2.63226058261,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,huber,huber;alpha=0.001,0.001,,12,12.1479655626,13.3294790695,13.7736463448,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.66428978032,-1.3528744388,-8.40726833167,2.56665600358,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,huber,huber;alpha=0.1,0.1,,12,12.3023239411,13.1110949337,13.1520045679,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.44590564451,-1.31432601179,-7.7856265548,2.45081590149,false,false,false
target_compressive_strength_mpa,hydration_interactions,ordinary_least_squares,ordinary_least_squares,,,17,6.89389812015,6.9140655676,7.29544499958,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.24887627839,-0.220447405132,-1.92906698649,1.35947281049,false,false,false
target_compressive_strength_mpa,hydration_interactions,ridge,ridge;alpha=0.0001,0.0001,,17,6.89389918493,6.91450594653,7.29551233066,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.24931665732,-0.220525139327,-1.92913431757,1.35948535732,false,false,false
target_compressive_strength_mpa,hydration_interactions,ridge,ridge;alpha=0.01,0.01,,17,6.89996057302,6.95421586838,7.30496044992,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.28902657916,-0.227534600056,-1.93858243684,1.36124597114,false,false,false
