x,y,z,t,signal,temperature_C,frame_index,row_index,col_index,laser_power_W,scan_speed_mm_s,spot_size_um
248.0,288.0,0.0,0.005,125.0,1082.267437985978,150,288,248,285.0,960.0,67.0
252.0,288.0,0.0,0.005,162.0,1103.0432433846815,150,288,252,285.0,960.0,67.0
256.0,288.0,0.0,0.005,278.0,1148.9876098429359,150,288,256,285.0,960.0,67.0
260.0,288.0,0.0,0.005,501.0,1203.684695211148,150,288,260,285.0,960.0,67.0
264.0,288.0,0.0,0.005,1902.0,1349.3440625612038,150,288,264,285.0,960.0,67.0
268.0,288.0,0.0,0.005,654.0,1230.1917405695922,150,288,268,285.0,960.0,67.0
272.0,288.0,0.0,0.005,283.0,1150.5697181273208,150,288,272,285.0,960.0,67.0
276.0,288.0,0.0,0.005,155.0,1099.4476092988436,150,288,276,285.0,960.0,67.0
252.0,296.0,0.0,0.005,210.0,1124.653300897539,150,296,252,285.0,960.0,67.0
256.0,296.0,0.0,0.005,402.0,1182.638394539673,150,296,256,285.0,960.0,67.0
260.0,296.0,0.0,0.005,790.0,1249.7061730123637,150,296,260,285.0,960.0,67.0
264.0,296.0,0.0,0.005,3573.0,1431.4350015047285,150,296,264,285.0,960.0,67.0
268.0,296.0,0.0,0.005,887.0,1261.9801608344403,150,296,268,285.0,960.0,67.0
272.0,296.0,0.0,0.005,246.0,1138.2504851650465,150,296,272,285.0,960.0,67.0
252.0,304.0,0.0,0.005,166.0,1105.0388773363795,150,304,252,285.0,960.0,67.0
256.0,304.0,0.0,0.005,380.0,1177.3761780280881,150,304,256,285.0,960.0,67.0
260.0,304.0,0.0,0.005,1021.0,1277.2223597820698,150,304,260,285.0,960.0,67.0
264.0,304.0,0.0,0.005,4095.0,1450.5594629649443,150,304,264,285.0,960.0,67.0
268.0,304.0,0.0,0.005,1248.0,1299.6276570313855,150,304,268,285.0,960.0,67.0
272.0,304.0,0.0,0.005,250.0,1139.6551226677016,150,304,272,285.0,960.0,67.0
276.0,304.0,0.0,0.005,105.0,1068.7320569802655,150,304,276,285.0,960.0,67.0
252.0,312.0,0.0,0.005,128.0,1084.1351696996758,150,312,252,285.0,960.0,67.0
256.0,312.0,0.0,0.005,339.0,1166.8443930308977,150,312,256,285.0,960.0,67.0
260.0,312.0,0.0,0.005,1455.0,1317.298566800337,150,312,260,285.0,960.0,67.0
264.0,312.0,0.0,0.005,4095.0,1450.5594629649443,150,312,264,285.0,960.0,67.0
268.0,312.0,0.0,0.005,2165.0,1365.4120061373012,150,312,268,285.0,960.0,67.0
272.0,312.0,0.0,0.005,338.0,1166.574389641719,150,312,272,285.0,960.0,67.0
276.0,312.0,0.0,0.005,149.0,1096.2537635978442,150,312,276,285.0,960.0,67.0
252.0,320.0,0.0,0.005,158.0,1101.0051940565802,150,320,252,285.0,960.0,67.0
256.0,320.0,0.0,0.005,357.0,1171.593249911274,150,320,256,285.0,960.0,67.0
260.0,320.0,0.0,0.005,2603.0,1388.9548488771416,150,320,260,285.0,960.0,67.0
264.0,320.0,0.0,0.005,4095.0,1450.5594629649443,150,320,264,285.0,960.0,67.0
268.0,320.0,0.0,0.005,4095.0,1450.5594629649443,150,320,268,285.0,960.0,67.0
272.0,320.0,0.0,0.005,713.0,1239.0367345955153,150,320,272,285.0,960.0,67.0
276.0,320.0,0.0,0.005,294.0,1153.9688788816413,150,320,276,285.0,960.0,67.0
280.0,320.0,0.0,0.005,152.0,1097.8641198244743,150,320,280,285.0,960.0,67.0
284.0,320.0,0.0,0.005,108.0,1070.8960063436866,150,320,284,285.0,960.0,67.0
252.0,328.0,0.0,0.005,104.0,1067.998969485603,150,328,252,285.0,960.0,67.0
256.0,328.0,0.0,0.005,177.0,1110.3231239806616,150,328,256,285.0,960.0,67.0
260.0,328.0,0.0,0.005,426.0,1188.109802351742,150,328,260,285.0,960.0,67.0
264.0,328.0,0.0,0.005,1027.0,1277.8652157803767,150,328,264,285.0,960.0,67.0
268.0,328.0,0.0,0.005,599.0,1221.3254899841334,150,328,268,285.0,960.0,67.0
272.0,328.0,0.0,0.005,368.0,1174.3969380199767,150,328,272,285.0,960.0,67.0
276.0,328.0,0.0,0.005,187.0,1114.8898573358474,150,328,276,285.0,960.0,67.0
280.0,328.0,0.0,0.005,112.0,1073.7026007119105,150,328,280,285.0,960.0,67.0
260.0,336.0,0.0,0.005,118.0,1077.7557553634545,150,336,260,285.0,960.0,67.0
264.0,336.0,0.0,0.005,182.0,1112.6331644835116,150,336,264,285.0,960.0,67.0
268.0,336.0,0.0,0.005,153.0,1098.394886222793,150,336,268,285.0,960.0,67.0
264.0,280.0,0.0,0.005833333333333334,141.0,1091.820194839102,175,280,264,285.0,960.0,67.0
240.0,288.0,0.0,0.005833333333333334,107.0,1070.1804722621068,175,288,240,285.0,960.0,67.0
244.0,288.0,0.0,0.005833333333333334,123.0,1081.000889251737,175,288,244,285.0,960.0,67.0
248.0,288.0,0.0,0.005833333333333334,125.0,1082.267437985978,175,288,248,285.0,960.0,67.0
252.0,288.0,0.0,0.005833333333333334,102.0,1066.514497451543,175,288,252,285.0,960.0,67.0
264.0,288.0,0.0,0.005833333333333334,191.0,1116.6585744238967,175,288,264,285.0,960.0,67.0
240.0,296.0,0.0,0.005833333333333334,132.0,1086.568153848815,175,296,240,285.0,960.0,67.0
244.0,296.0,0.0,0.005833333333333334,164.0,1104.0462412774896,175,296,244,285.0,960.0,67.0
248.0,296.0,0.0,0.005833333333333334,174.0,1108.9103192501043,175,296,248,285.0,960.0,67.0
252.0,296.0,0.0,0.005833333333333334,155.0,1099.4476092988436,175,296,252,285.0,960.0,67.0
256.0,296.0,0.0,0.005833333333333334,117.0,1077.0926586091684,175,296,256,285.0,960.0,67.0
260.0,296.0,0.0,0.005833333333333334,116.0,1076.4246970775782,175,296,260,285.0,960.0,67.0
264.0,296.0,0.0,0.005833333333333334,396.0,1181.2277451118634,175,296,264,285.0,960.0,67.0
268.0,296.0,0.0,0.005833333333333334,107.0,1070.1804722621068,175,296,268,285.0,960.0,67.0
240.0,304.0,0.0,0.005833333333333334,111.0,1073.0090954733719,175,304,240,285.0,960.0,67.0
244.0,304.0,0.0,0.005833333333333334,189.0,1115.7781926842745,175,304,244,285.0,960.0,67.0
248.0,304.0,0.0,0.005833333333333334,246.0,1138.2504851650465,175,304,248,285.0,960.0,67.0
252.0,304.0,0.0,0.005833333333333334,233.0,1133.5477440065092,175,304,252,285.0,960.0,67.0
256.0,304.0,0.0,0.005833333333333334,218.0,1127.8367784655707,175,304,256,285.0,960.0,67.0
260.0,304.0,0.0,0.005833333333333334,213.0,1125.8589725986776,175,304,260,285.0,960.0,67.0
264.0,304.0,0.0,0.005833333333333334,871.0,1260.034888527036,175,304,264,285.0,960.0,67.0
268.0,304.0,0.0,0.005833333333333334,156.0,1099.9696365472435,175,304,268,285.0,960.0,67.0
244.0,312.0,0.0,0.005833333333333334,141.0,1091.820194839102,175,312,244,285.0,960.0,67.0
248.0,312.0,0.0,0.005833333333333334,254.0,1141.0408615878196,175,312,248,285.0,960.0,67.0
252.0,312.0,0.0,0.005833333333333334,316.0,1160.4568912216216,175,312,252,285.0,960.0,67.0
256.0,312.0,0.0,0.005833333333333334,314.0,1159.8831065501852,175,312,256,285.0,960.0,67.0
260.0,312.0,0.0,0.005833333333333334,344.0,1168.1844270288389,175,312,260,285.0,960.0,67.0
264.0,312.0,0.0,0.005833333333333334,1130.0,1288.4442873142152,175,312,264,285.0,960.0,67.0
268.0,312.0,0.0,0.005833333333333334,258.0,1142.4082520643506,175,312,268,285.0,960.0,67.0
272.0,312.0,0.0,0.005833333333333334,115.0,1075.751792144178,175,312,272,285.0,960.0,67.0
244.0,320.0,0.0,0.005833333333333334,113.0,1074.3908276501156,175,320,244,285.0,960.0,67.0
248.0,320.0,0.0,0.005833333333333334,214.0,1126.2576617287355,175,320,248,285.0,960.0,67.0
252.0,320.0,0.0,0.005833333333333334,314.0,1159.8831065501852,175,320,252,285.0,960.0,67.0
256.0,320.0,0.0,0.005833333333333334,381.0,1177.620858655694,175,320,256,285.0,960.0,67.0
260.0,320.0,0.0,0.005833333333333334,568.0,1216.0242186270711,175,320,260,285.0,960.0,67.0
264.0,320.0,0.0,0.005833333333333334,1581.0,1327.0664438299389,175,320,264,285.0,960.0,67.0
268.0,320.0,0.0,0.005833333333333334,403.0,1182.8717798532507,175,320,268,285.0,960.0,67.0
272.0,320.0,0.0,0.005833333333333334,205.0,1122.6109698176267,175,320,272,285.0,960.0,67.0
248.0,328.0,0.0,0.005833333333333334,170.0,1106.9939824738008,175,328,248,285.0,960.0,67.0
252.0,328.0,0.0,0.005833333333333334,336.0,1166.0323569381837,175,328,252,285.0,960.0,67.0
256.0,328.0,0.0,0.005833333333333334,495.0,1202.5134440415165,175,328,256,285.0,960.0,67.0
260.0,328.0,0.0,0.005833333333333334,739.0,1242.7421530055951,175,328,260,285.0,960.0,67.0
264.0,328.0,0.0,0.005833333333333334,2618.0,1389.7024413598467,175,328,264,285.0,960.0,67.0
268.0,328.0,0.0,0.005833333333333334,650.0,1229.5683310848535,175,328,268,285.0,960.0,67.0
272.0,328.0,0.0,0.005833333333333334,290.0,1152.74544857703,175,328,272,285.0,960.0,67.0
276.0,328.0,0.0,0.005833333333333334,132.0,1086.568153848815,175,328,276,285.0,960.0,67.0
252.0,336.0,0.0,0.005833333333333334,265.0,1144.7586032046447,175,336,252,285.0,960.0,67.0
256.0,336.0,0.0,0.005833333333333334,549.0,1212.6543226818296,175,336,256,285.0,960.0,67.0
260.0,336.0,0.0,0.005833333333333334,1195.0,1294.7174448877713,175,336,260,285.0,960.0,67.0
264.0,336.0,0.0,0.005833333333333334,4095.0,1450.5594629649443,175,336,264,285.0,960.0,67.0
268.0,336.0,0.0,0.005833333333333334,859.0,1258.5563957616844,175,336,268,285.0,960.0,67.0
272.0,336.0,0.0,0.005833333333333334,315.0,1160.1703830830463,175,336,272,285.0,960.0,67.0
276.0,336.0,0.0,0.005833333333333334,148.0,1095.7108335266212,175,336,276,285.0,960.0,67.0
252.0,344.0,0.0,0.005833333333333334,163.0,1103.546052352859,175,344,252,285.0,960.0,67.0
256.0,344.0,0.0,0.005833333333333334,549.0,1212.6543226818296,175,344,256,285.0,960.0,67.0
260.0,344.0,0.0,0.005833333333333334,1819.0,1343.8972979064547,175,344,260,285.0,960.0,67.0
264.0,344.0,0.0,0.005833333333333334,4095.0,1450.5594629649443,175,344,264,285.0,960.0,67.0
268.0,344.0,0.0,0.005833333333333334,1034.0,1278.6113032015837,175,344,268,285.0,960.0,67.0
272.0,344.0,0.0,0.005833333333333334,288.0,1152.1283795475254,175,344,272,285.0,960.0,67.0
276.0,344.0,0.0,0.005833333333333334,134.0,1087.7611175615493,175,344,276,285.0,960.0,67.0
252.0,352.0,0.0,0.005833333333333334,146.0,1094.6155224895754,175,352,252,285.0,960.0,67.0
256.0,352.0,0.0,0.005833333333333334,456.0,1194.5962340754154,175,352,256,285.0,960.0,67.0
260.0,352.0,0.0,0.005833333333333334,4095.0,1450.5594629649443,175,352,260,285.0,960.0,67.0
264.0,352.0,0.0,0.005833333333333334,4095.0,1450.5594629649443,175,352,264,285.0,960.0,67.0
268.0,352.0,0.0,0.005833333333333334,1928.0,1351.0103987736763,175,352,268,285.0,960.0,67.0
272.0,352.0,0.0,0.005833333333333334,405.0,1183.3370940635862,175,352,272,285.0,960.0,67.0
276.0,352.0,0.0,0.005833333333333334,153.0,1098.394886222793,175,352,276,285.0,960.0,67.0
280.0,352.0,0.0,0.005833333333333334,107.0,1070.1804722621068,175,352,280,285.0,960.0,67.0
248.0,360.0,0.0,0.005833333333333334,104.0,1067.998969485603,175,360,248,285.0,960.0,67.0
252.0,360.0,0.0,0.005833333333333334,170.0,1106.9939824738008,175,360,252,285.0,960.0,67.0
256.0,360.0,0.0,0.005833333333333334,377.0,1176.638871867399,175,360,256,285.0,960.0,67.0
260.0,360.0,0.0,0.005833333333333334,4095.0,1450.5594629649443,175,360,260,285.0,960.0,67.0
264.0,360.0,0.0,0.005833333333333334,4095.0,1450.5594629649443,175,360,264,285.0,960.0,67.0
268.0,360.0,0.0,0.005833333333333334,2403.0,1378.6380685597724,175,360,268,285.0,960.0,67.0
272.0,360.0,0.0,0.005833333333333334,673.0,1233.1102407018557,175,360,272,285.0,960.0,67.0
276.0,360.0,0.0,0.005833333333333334,311.0,1159.0166208270755,175,360,276,285.0,960.0,67.0
280.0,360.0,0.0,0.005833333333333334,133.0,1087.1665503707152,175,360,280,285.0,960.0,67.0
284.0,360.0,0.0,0.005833333333333334,107.0,1070.1804722621068,175,360,284,285.0,960.0,67.0
256.0,368.0,0.0,0.005833333333333334,112.0,1073.7026007119105,175,368,256,285.0,960.0,67.0
260.0,368.0,0.0,0.005833333333333334,368.0,1174.3969380199767,175,368,260,285.0,960.0,67.0
