feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
phase106_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.174314337940004,0.8366363078164535,0.044465427246720146,0.25574049896119716,2.030561461760859,1.174314337940004
scalar_source_control,mean,constant:mean:fit=train,test,26,1.616620459031165,1.3274908603238886,0.06064403018580666,0.28785008108366106,2.0084822122069244,1.616620459031165
scalar_source_control,mean,constant:mean:fit=train,train,76,2.475157424815192,1.2858954757617724,0.08981833577250033,0.1094135231205772,4.041212174298709,2.475157424815192
scalar_source_control,mean,constant:mean:fit=train,val,26,1.5923420619344277,1.2262419372469653,0.060294052298674246,0.3467779795232453,0.8490472156070283,1.5923420619344277
scalar_source_control,knn,model:knn:fit=train,test,26,2.899530030161537,1.7086616282051286,0.10876961607868614,0.51628070746222,7.238994609620658,2.899530030161537
scalar_source_control,knn,model:knn:fit=train,train,76,2.059457803518036,1.0617070350877196,0.07473345761815144,0.0910376575412767,3.884762064145337,2.059457803518036
scalar_source_control,knn,model:knn:fit=train,val,26,2.1741921921298943,1.3865667435897429,0.08232581483176782,0.4734924696808444,4.981313284031467,2.1741921921298943
scalar_source_control,extra_trees,model:extra_trees:fit=train,test,26,4.792691347532863,3.3311750346153803,0.17978748018890087,0.8533707372620232,9.220567224188366,4.792691347532863
scalar_source_control,extra_trees,model:extra_trees:fit=train,train,76,1.8006160946904698e-14,1.5356137414289008e-14,6.534062818341841e-16,7.959564459719528e-16,2.0524417735663547e-14,1.8006160946904698e-14
scalar_source_control,extra_trees,model:extra_trees:fit=train,val,26,3.683092361374635,2.5403670592307694,0.13946033880923422,0.8020985930142375,6.531239575833276,3.683092361374635
scalar_source_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.3827508688560513,0.9674086877975386,0.051870916863572994,0.24620803695460597,3.2625995831084857,1.3827508688560513
scalar_source_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.9742309739847201,1.0771866528220755,0.07164075251782005,0.08727023346143935,2.8364333232176855,1.9742309739847201
scalar_source_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.174314337940004,0.8366363078164535,0.044465427246720146,0.25574049896119716,2.030561461760859,1.174314337940004
layer_time_control,mean,constant:mean:fit=train,test,26,1.616620459031165,1.3274908603238886,0.06064403018580666,0.28785008108366106,2.0084822122069244,1.616620459031165
layer_time_control,mean,constant:mean:fit=train,train,76,2.475157424815192,1.2858954757617724,0.08981833577250033,0.1094135231205772,4.041212174298709,2.475157424815192
layer_time_control,mean,constant:mean:fit=train,val,26,1.5923420619344277,1.2262419372469653,0.060294052298674246,0.3467779795232453,0.8490472156070283,1.5923420619344277
layer_time_control,knn,model:knn:fit=train,test,26,5.358434709734559,5.174896846153847,0.20101012236388643,0.9541051253322422,8.004525893458318,5.358434709734559
layer_time_control,knn,model:knn:fit=train,train,76,1.7764155465692617,1.1357727894736844,0.06446244042241508,0.07852586729541895,2.58306659139,1.7764155465692617
layer_time_control,knn,model:knn:fit=train,val,26,5.076991014689894,4.936626076923077,0.19224032893267715,1.1056598504928103,6.7202293517775615,5.076991014689894
layer_time_control,extra_trees,model:extra_trees:fit=train,test,26,8.199652211139961,8.080905346153818,0.30759226968059916,1.4600028971852554,10.9102142657981,8.199652211139961
layer_time_control,extra_trees,model:extra_trees:fit=train,train,76,1.6521542061246928,1.1108759210526322,0.05995325377929697,0.07303293544816851,1.9020749012894076,1.6521542061246928
layer_time_control,extra_trees,model:extra_trees:fit=train,val,26,7.931738639606955,7.84263457692305,0.3003353838275804,1.7273627101251698,9.621163849181992,7.931738639606955
layer_time_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.4647156871692277,1.1420560709319916,0.0549456502607597,0.2608024208532206,3.2919230482625177,1.4647156871692277
layer_time_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.2690184459735225,1.2872962021534804,0.08233797923768968,0.10030121709049541,3.3723710038784156,2.2690184459735225
layer_time_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.206224989467648,1.0716570749260481,0.04567372447009134,0.26268995506523524,2.045015190329675,1.206224989467648
camera_layer_time_control,mean,constant:mean:fit=train,test,26,1.616620459031165,1.3274908603238886,0.06064403018580666,0.28785008108366106,2.0084822122069244,1.616620459031165
camera_layer_time_control,mean,constant:mean:fit=train,train,76,2.475157424815192,1.2858954757617724,0.08981833577250033,0.1094135231205772,4.041212174298709,2.475157424815192
camera_layer_time_control,mean,constant:mean:fit=train,val,26,1.5923420619344277,1.2262419372469653,0.060294052298674246,0.3467779795232453,0.8490472156070283,1.5923420619344277
camera_layer_time_control,knn,model:knn:fit=train,test,26,3.3534505463944506,2.2520121025641022,0.12579746533953423,0.5971042901858273,7.382729804445402,3.3534505463944506
camera_layer_time_control,knn,model:knn:fit=train,train,76,1.67678618522547,0.8170059078947365,0.06084709727685956,0.07412178401506307,2.269104102974443,1.67678618522547
