target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,knn,val,84,20.982454559,15.093682126,0.525397657,0.846177918
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,knn,test,54,7.279707257,6.107578680,0.860894640,0.293575164
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,extra_trees,train,227,0.000000000,0.000000000,1.000000000,0.000000000
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,extra_trees,val,84,19.345634275,12.035781712,0.596556018,0.780168425
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,extra_trees,test,54,7.026010346,5.479070945,0.870421304,0.283344105
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,hist_gradient_boosting,train,227,4.699175517,2.839027968,0.964086798,0.189507788
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,hist_gradient_boosting,val,84,16.239484341,12.466942555,0.715709881,0.654903982
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,hist_gradient_boosting,test,54,6.654010122,5.185615233,0.883779444,0.268342124
Corrected-Total-Energy-Yield-kJ,series_shortcut,knn,train,227,23.952162218,18.620952700,0.066960046,0.965939933
Corrected-Total-Energy-Yield-kJ,series_shortcut,knn,val,84,30.334986737,26.116631861,0.008015436,1.223345717
Corrected-Total-Energy-Yield-kJ,series_shortcut,knn,test,54,31.532613850,26.265822951,-1.609972783,1.271643480
Corrected-Total-Energy-Yield-kJ,series_shortcut,extra_trees,train,227,18.274824896,15.194138646,0.456853180,0.736984953
Corrected-Total-Energy-Yield-kJ,series_shortcut,extra_trees,val,84,31.623875225,25.805796701,-0.078071266,1.275323858
Corrected-Total-Energy-Yield-kJ,series_shortcut,extra_trees,test,54,25.657731745,23.339780198,-0.728035077,1.034721937
Corrected-Total-Energy-Yield-kJ,series_shortcut,hist_gradient_boosting,train,227,18.588767294,15.722838881,0.438031498,0.749645584
Corrected-Total-Energy-Yield-kJ,series_shortcut,hist_gradient_boosting,val,84,31.464445459,25.510749846,-0.067228610,1.268894393
Corrected-Total-Energy-Yield-kJ,series_shortcut,hist_gradient_boosting,test,54,25.526976234,22.923617700,-0.710467322,1.029448844
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,mean,mean,train,227,23.144814979,18.760561561,0.000000000,1.000000000
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,mean,mean,val,84,28.945798574,23.218035728,-0.000393099,1.250638582
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,mean,mean,test,54,20.963438902,18.573245251,-0.442437318,0.905750982
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,knn,train,227,6.783594358,4.697792708,0.914096212,0.293093480
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,knn,val,84,17.729375297,11.451975381,0.624693157,0.766019314
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,knn,test,54,10.194738393,7.403089262,0.658866738,0.440476124
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,extra_trees,train,227,2.381243974,0.962597389,0.989414768,0.102884554
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,extra_trees,val,84,21.527885954,14.874219637,0.446646853,0.930138607
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,extra_trees,test,54,5.165526173,4.152087695,0.912420789,0.223182867
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,hist_gradient_boosting,train,227,5.661364780,4.063727125,0.940167817,0.244606180
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,hist_gradient_boosting,val,84,13.419627457,10.411240495,0.784979170,0.579811395
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_pretest,hist_gradient_boosting,test,54,6.447380449,5.162371164,0.863561011,0.278566947
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,trigger_numeric,knn,train,227,9.296967583,6.223403681,0.838647683,0.401686840
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,trigger_numeric,knn,val,84,30.369323211,20.650836630,-0.101209231,1.312143702
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,trigger_numeric,knn,test,54,7.985438216,6.771255943,0.790699916,0.345020611
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,trigger_numeric,extra_trees,train,227,5.176178659,1.435404705,0.949983754,0.223643121
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,trigger_numeric,extra_trees,val,84,22.718059985,16.403184895,0.383771046,0.981561529
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,trigger_numeric,extra_trees,test,54,6.113342337,5.229814701,0.877332553,0.264134422
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,trigger_numeric,hist_gradient_boosting,train,227,8.203756706,4.382996700,0.874362838,0.354453328
